,LR,DO,n_hidden,mean acc,std acc
599,0.495,0.3,64,0.18627500000000002,0.1388766629063357
600,0.5,0.3,64,0.361525,0.11136068651009655
601,0.005,0.35000000000000003,64,0.4511,0.0034725710935846897
602,0.01,0.35000000000000003,64,0.626125,0.009361490265977976
603,0.015,0.35000000000000003,64,0.71965,0.004277411600489235
604,0.02,0.35000000000000003,64,0.735375,0.013221431465616731
605,0.025,0.35000000000000003,64,0.77145,0.008183290902809219
606,0.030000000000000002,0.35000000000000003,64,0.8130499999999999,0.013994775810994635
607,0.034999999999999996,0.35000000000000003,64,0.8429249999999999,0.00341375892529042
608,0.04,0.35000000000000003,64,0.8458249999999999,0.00668281377864147
609,0.045,0.35000000000000003,64,0.848625,0.0035522879950814798
610,0.049999999999999996,0.35000000000000003,64,0.8490499999999999,0.006651409625034366
611,0.055,0.35000000000000003,64,0.8493,0.005705589364824637
612,0.06,0.35000000000000003,64,0.851375,0.0034387497728099003
613,0.065,0.35000000000000003,64,0.848625,0.004332291541436212
614,0.07,0.35000000000000003,64,0.847475,0.006120865951807803
615,0.07500000000000001,0.35000000000000003,64,0.845275,0.0064388469464648716
616,0.08,0.35000000000000003,64,0.845925,0.011272366654789048
617,0.085,0.35000000000000003,64,0.8445750000000001,0.007397043328249474
618,0.09000000000000001,0.35000000000000003,64,0.84275,0.009597200112532829
619,0.095,0.35000000000000003,64,0.8315000000000001,0.009909591313469995
620,0.1,0.35000000000000003,64,0.82265,0.010716051045044523
621,0.10500000000000001,0.35000000000000003,64,0.83865,0.0037378135319996704
622,0.11,0.35000000000000003,64,0.8265750000000001,0.011404659135634007
623,0.115,0.35000000000000003,64,0.834825,0.005492381086559838
624,0.12000000000000001,0.35000000000000003,64,0.8253,0.005572028355993884
625,0.125,0.35000000000000003,64,0.8308750000000001,0.0044405799170829175
626,0.13,0.35000000000000003,64,0.8059000000000001,0.019231224609992974
627,0.135,0.35000000000000003,64,0.82635,0.009260264575053979
628,0.14,0.35000000000000003,64,0.810825,0.020655598514688445
629,0.14500000000000002,0.35000000000000003,64,0.7272,0.1433052162344414
630,0.15,0.35000000000000003,64,0.762825,0.09793016006317973
631,0.155,0.35000000000000003,64,0.7141499999999998,0.13779018016535138
632,0.16,0.35000000000000003,64,0.64445,0.17624277644771713
633,0.165,0.35000000000000003,64,0.64605,0.16264792497907865
634,0.17,0.35000000000000003,64,0.362675,0.22209245822404686
635,0.17500000000000002,0.35000000000000003,64,0.384875,0.16291370415038753
636,0.18000000000000002,0.35000000000000003,64,0.387975,0.09707997347548052
637,0.185,0.35000000000000003,64,0.47227500000000006,0.19345151847426786
638,0.19,0.35000000000000003,64,0.35012499999999996,0.1231270177499642
639,0.195,0.35000000000000003,64,0.354025,0.12207736788610739
640,0.2,0.35000000000000003,64,0.49277499999999996,0.17776463371548346
641,0.20500000000000002,0.35000000000000003,64,0.510025,0.11816522859961806
642,0.21000000000000002,0.35000000000000003,64,0.37789999999999996,0.14764478910547438
643,0.215,0.35000000000000003,64,0.41617499999999996,0.2165876208373877
644,0.22,0.35000000000000003,64,0.4891249999999999,0.15932058875110902
645,0.225,0.35000000000000003,64,0.5382,0.22940532633310848
646,0.23,0.35000000000000003,64,0.46977499999999994,0.1892305703368248
647,0.23500000000000001,0.35000000000000003,64,0.400725,0.09969583115657343
648,0.24000000000000002,0.35000000000000003,64,0.42515000000000003,0.22189066001073593
649,0.245,0.35000000000000003,64,0.40957499999999997,0.233893720522805
650,0.25,0.35000000000000003,64,0.339675,0.13763987430973626
651,0.255,0.35000000000000003,64,0.37737499999999996,0.1029238189147682
652,0.26,0.35000000000000003,64,0.45077500000000004,0.005632716928800871
653,0.265,0.35000000000000003,64,0.40277499999999994,0.09965425856429821
654,0.27,0.35000000000000003,64,0.33777500000000005,0.13792646138431885
655,0.275,0.35000000000000003,64,0.33835000000000004,0.1363477722590289
656,0.28,0.35000000000000003,64,0.32162500000000005,0.18432078016327946
657,0.28500000000000003,0.35000000000000003,64,0.44762500000000005,0.18579360188122734
658,0.29000000000000004,0.35000000000000003,64,0.39987500000000004,0.09937372640693314
659,0.295,0.35000000000000003,64,0.28685,0.13050865392762273
660,0.3,0.35000000000000003,64,0.42095000000000005,0.056814918815395674
661,0.305,0.35000000000000003,64,0.35517499999999996,0.12361046678983136
662,0.31,0.35000000000000003,64,0.177275,0.02731338957361389
663,0.315,0.35000000000000003,64,0.36512500000000003,0.10757140070669341
664,0.32,0.35000000000000003,64,0.33372499999999994,0.1433013956666159
665,0.325,0.35000000000000003,64,0.27695,0.14218824670133604
666,0.33,0.35000000000000003,64,0.25895,0.10775297559696437
667,0.335,0.35000000000000003,64,0.43375,0.13620969587367854
668,0.34,0.35000000000000003,64,0.302325,0.1243241881131745
