,LR,DO,n_hidden,mean acc,std acc
83,0.41500000000000004,0.05,64,0.246375,0.15054523821762014
84,0.42000000000000004,0.05,64,0.379825,0.025975180461355808
85,0.425,0.05,64,0.30322499999999997,0.13438767149556538
86,0.43,0.05,64,0.314025,0.13409645315965668
87,0.435,0.05,64,0.3131,0.1420643868110513
88,0.44,0.05,64,0.239175,0.16211424598103646
89,0.445,0.05,64,0.23810000000000003,0.16315013024818584
90,0.45,0.05,64,0.27795,0.12600497510019198
91,0.455,0.05,64,0.23700000000000002,0.1639869850018592
92,0.46,0.05,64,0.17792500000000003,0.1589459342040557
93,0.465,0.05,64,0.30552500000000005,0.12871102322645098
94,0.47000000000000003,0.05,64,0.144875,0.13495138013373556
95,0.47500000000000003,0.05,64,0.07554999999999999,0.04150230415290217
96,0.48000000000000004,0.05,64,0.30369999999999997,0.1344942749710931
97,0.485,0.05,64,0.12380000000000002,0.12298817524461446
98,0.49,0.05,64,0.17237500000000003,0.16089866764519836
99,0.495,0.05,64,0.174,0.16593110392569563
100,0.5,0.05,64,0.30525,0.1268151459802811
101,0.005,0.1,64,0.370025,0.006206548960573826
102,0.01,0.1,64,0.370025,0.004273757129271614
103,0.015,0.1,64,0.4034,0.015961946936385925
104,0.02,0.1,64,0.414775,0.00529823083679826
105,0.025,0.1,64,0.4173,0.010412912656889052
106,0.030000000000000002,0.1,64,0.385775,0.020963420522424284
107,0.034999999999999996,0.1,64,0.3852,0.019617371128670628
108,0.04,0.1,64,0.38622500000000004,0.019752752972687113
109,0.045,0.1,64,0.370025,0.004275219292621139
110,0.049999999999999996,0.1,64,0.37002499999999994,0.005082076347321064
111,0.055,0.1,64,0.37002499999999994,0.005866429919465492
112,0.06,0.1,64,0.370025,0.006195966429863871
113,0.065,0.1,64,0.37002500000000005,0.006392084949372949
114,0.07,0.1,64,0.370025,0.003735304539123965
115,0.07500000000000001,0.1,64,0.37002499999999994,0.0023202909300344163
116,0.08,0.1,64,0.37002499999999994,0.0036154183713645012
117,0.085,0.1,64,0.370025,0.003622326600404774
118,0.09000000000000001,0.1,64,0.37002499999999994,0.002776463578007107
119,0.095,0.1,64,0.370025,0.00663108211380316
120,0.1,0.1,64,0.37002500000000005,0.005376104537674098
121,0.10500000000000001,0.1,64,0.370025,0.0013024016277631085
122,0.11,0.1,64,0.37002500000000005,0.0034662660024874013
123,0.115,0.1,64,0.37002499999999994,0.005692868345570623
124,0.12000000000000001,0.1,64,0.370025,0.008027842175827832
125,0.125,0.1,64,0.37002499999999994,0.003203903868720161
126,0.13,0.1,64,0.3798,0.01864279351384872
127,0.135,0.1,64,0.304875,0.1273028132053648
128,0.14,0.1,64,0.37002499999999994,0.005422983496194701
129,0.14500000000000002,0.1,64,0.389425,0.01898808837139748
130,0.15,0.1,64,0.37982499999999997,0.018829265784942345
131,0.155,0.1,64,0.370125,0.003612478373637692
132,0.16,0.1,64,0.3863249999999999,0.019072657130038265
133,0.165,0.1,64,0.38112500000000005,0.01486207421593635
134,0.17,0.1,64,0.3755,0.01422212185294445
135,0.17500000000000002,0.1,64,0.38555,0.027225516524025762
136,0.18000000000000002,0.1,64,0.370025,0.0034554305086341983
137,0.185,0.1,64,0.39094999999999996,0.02368208711241474
138,0.19,0.1,64,0.370025,0.006434963092357257
139,0.195,0.1,64,0.37652500000000005,0.0153185753254015
140,0.2,0.1,64,0.38659999999999994,0.017505963269697545
141,0.20500000000000002,0.1,64,0.379625,0.024349922997824867
142,0.21000000000000002,0.1,64,0.375525,0.01293140556938804
143,0.215,0.1,64,0.376325,0.01316638712783428
144,0.22,0.1,64,0.370025,0.004890296514527516
145,0.225,0.1,64,0.3145,0.13481591615977692
146,0.23,0.1,64,0.3094,0.1315621383605481
147,0.23500000000000001,0.1,64,0.37002500000000005,0.002373552190283581
148,0.24000000000000002,0.1,64,0.30457499999999993,0.1290485761254265
149,0.245,0.1,64,0.30629999999999996,0.12891558769210185
150,0.25,0.1,64,0.37002500000000005,0.008640167822444183
151,0.255,0.1,64,0.3056,0.12693776526313985
152,0.26,0.1,64,0.37002499999999994,0.005280506604484083
153,0.265,0.1,64,0.303875,0.12799313946458224
154,0.27,0.1,64,0.37564999999999993,0.00997540725985661
155,0.275,0.1,64,0.370025,0.0042326114870136575
156,0.28,0.1,64,0.370025,0.004774541862838784
157,0.28500000000000003,0.1,64,0.37002500000000005,0.004762089877354273
158,0.29000000000000004,0.1,64,0.37002500000000005,0.00454037443389859
159,0.295,0.1,64,0.252975,0.14649478233029326
160,0.3,0.1,64,0.37995,0.02011352157132111
161,0.305,0.1,64,0.375725,0.009963495872433522
